"parkrecordid","recordcode","recordstate","d","entryid","exitid","entrydatasource","exitdatasource","entrytime","exittime","parkid","berthid","carid","platenumber","cartype","carcolor","shouldpay","actualpay","agiopay","illegal","createdtime","operationid","updatedtime","parktype","areaid","parentparkid","tag","mq_time","etl_time","production_time","state","dt"
"1646427970264203262","3dedfcc5d2804da8877ed2668b58098f","0","\N","1646427970246366211","1647000457108610555","11","11","2019-10-04 10:22:45","2019-10-10 18:02:12","1637296279813494208","1637296315871971056","1966455009980255744","京PM0E91","0","\N","0","0","0","\N","2019-10-04 10:27:49","1593521378449416192","2019-10-10 18:13:52","1","281479271874560","1637291267289912677","update","1570702432101","2019-10-11 00:56:51","1570702432093","1","20191010"
"1646432604357563115","88e07c029a994946a49bb1df86f1e14e","0","\N","1646432604345160065","1646963585501179066","11","11","2019-10-04 11:36:26","2019-10-10 08:16:09","1617911062210822324","1623149560829316052","1966459340707761920","京QK56J3","0","\N","0","0","0","\N","2019-10-04 11:41:28","1593521378449416192","2019-10-10 08:21:11","1","281479271743488","1617910936966807730","update","1570666871602","2019-10-11 00:56:51","1570666871589","1","20191010"
"1646441215803687812","0c57d20c5dfb43648588cae3a44c54b6","0","\N","1646441215792325869","1646971194978422999","11","11","2019-10-04 13:53:17","2019-10-10 10:17:03","1635585948170981627","1635585998717634186","1966446591840112896","京NX0C67","0","\N","0","0","0","\N","2019-10-04 13:58:21","1593521378449416192","2019-10-10 10:22:08","1","281479272005632","1635584897720127727","update","1570674128563","2019-10-11 00:56:51","1570674128553","1","20191010"
"1646455581790866228","e8c69925ee1e4362a874767a6cc7fd65","0","\N","1646455581780562055","1646959406962528692","11","11","2019-10-04 17:41:40","2019-10-10 07:09:45","1637381405175060287","1637381431686251482","1966407183430520832","京E28615","0","\N","0","0","0","\N","2019-10-04 17:46:41","1593521378449416192","2019-10-10 07:14:46","1","281479272071168","1637371616380458681","update","1570662886654","2019-10-11 00:56:51","1570662886643","1","20191010"
"1646458559070375891","197ae99a3a1d4bc4b84a3221acad5964","0","\N","1646458559060061044","1646969076627351634","12","12","2019-10-04 18:28:58","2019-10-10 09:48:11","1637386675783604210","1637387217198041643","1966446040542876032","京NHU958","0","\N","0","0","0","\N","2019-10-04 18:34:01","1593521378449416192","2019-10-10 09:48:31","1","281479271940096","1637384727422441395","update","1570672111549","2019-10-11 00:56:51","1570672111545","1","20191010"
"1646460022271155982","2e5b4100d408497f9cb2654c7dfd582e","0","\N","1646460022260849550","1646958878075464032","12","12","2019-10-04 18:52:13","2019-10-10 07:05:50","1637191447359394573","1637191867720977344","1966446593714867968","京NX7A03","0","\N","0","0","0","\N","2019-10-04 18:57:16","1593521378449416192","2019-10-10 07:06:22","1","281479272005632","1637191337112113932","update","1570662382253","2019-10-11 00:56:51","1570662382243","1","20191010"
"1646468862217718730","abb35664c2344b178d53ffc60dd2434d","0","\N","1646468862206368136","1646984673684705755","11","9","2019-10-04 21:12:45","2019-10-10 13:26:15","1637209724952384439","1637209796110893151","1966446145752715648","京NK2108","0","\N","0","0","0","\N","2019-10-04 21:17:47","1593521378449416192","2019-10-10 13:56:22","1","281479272005632","1637205058197787512","update","1570686982926","2019-10-11 00:56:51","1570686982913","1","20191010"
"1646524518900597596","070489367cb74843b81f9e0b0c486eab","0","\N","1646524518889247623","1646971655976473790","11","11","2019-10-05 11:57:23","2019-10-10 10:24:26","1622976058723681043","1622976279300016623","1966446213885088000","京NM0D67","0","\N","0","0","0","\N","2019-10-05 12:02:25","1593521378449416192","2019-10-10 10:29:28","1","281479271809024","1622975955065651986","update","1570674568214","2019-10-11 00:56:51","1570674568208","1","20191010"
"1646527211349117017","cbe9c1aa82de46039ad500f2bb1bd01f","0","\N","1646527211319941032","1646968201840238834","11","11","2019-10-05 12:40:09","2019-10-10 09:29:30","1622806975950389359","1623009355293877619","1966441816161522176","京MM1359","0","\N","0","0","0","\N","2019-10-05 12:45:13","1593521378449416192","2019-10-10 09:34:34","1","281479271743488","1620806943859818498","update","1570671274112","2019-10-11 00:56:51","1570671274085","1","20191010"
"1646531253101228215","634c5272a79444d6a63e52a783a87ff1","0","\N","1646531247101269477","1646966518898827979","11","9","2019-10-05 13:44:17","2019-10-10 09:06:33","1623347515675672721","1623528746326829253","1966438107467665408","京L69805","0","\N","0","0","0","\N","2019-10-05 13:49:27","1593521378449416192","2019-10-10 09:07:49","1","281479271743488","1621183407596781693","update","1570669669107","2019-10-11 00:56:51","1570669669100","1","20191010"
